Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Fred Savage,,1985–present,1976-07-09,"Chicago, Illinois, U.S.","Actor, director, producer",0,https://en.wikipedia.org/wiki/Fred_Savage
Philip Saville,,,"Born28 October 1930London, England","London, England",Actor,1,https://en.wikipedia.org/wiki/Philip_Saville
Seth Savoy,,,1992-04-23,"Denver, Colordo",Film Director,0,https://en.wikipedia.org/wiki/Seth_Savoy
Geoffrey Sax,,,"BornEngland, United Kingdom","England, United Kingdom",Film director,0,https://en.wikipedia.org/wiki/Geoffrey_Sax
John Sayles,,1978–present,1950-09-28,"Schenectady, New York, U.S.",Directorscreenwritereditoractorauthor,0,https://en.wikipedia.org/wiki/John_Sayles
John Scagliotti,,,,,"Film director, producer, broadcaster",0,https://en.wikipedia.org/wiki/John_Scagliotti
Armand Schaefer,,1931–1956,1898-08-05,"Tavistock, Ontario, Canada",Film producerFilm director,1,https://en.wikipedia.org/wiki/Armand_Schaefer
George Schaefer,,,1920-12-16,"Wallingford, Connecticut",,1,https://en.wikipedia.org/wiki/George_Schaefer_(director)
Franklin Schaffner,,,1920-05-30,"Tokyo, Japan",Film director,1,https://en.wikipedia.org/wiki/Franklin_Schaffner
Peter Schamoni,,1957–2011,1934-03-27,"Berlin, Germany","Film director, producer, screenwriter",1,https://en.wikipedia.org/wiki/Peter_Schamoni
Frank Scheffer,,,1956-03-19,"Venlo, Limburg, Netherlands","Film director, film producer.",0,https://en.wikipedia.org/wiki/Frank_Scheffer
Fred Schepisi,,,1939-12-26,"Melbourne, Victoria, Australia","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Fred_Schepisi
Victor Schertzinger,,,1888-04-08,"Mahanoy City, Pennsylvania","violinist, conductor, composer, songwriter, film director, film producer, screenwriter",1,https://en.wikipedia.org/wiki/Victor_Schertzinger
Paul Scheuring,,2000–present,1968-11-20,"Aurora, Illinois, United States","Screenwriter, director",0,https://en.wikipedia.org/wiki/Paul_Scheuring
Kyle Schickner,,,"BornNew Jersey, United States","New Jersey, United States",,0,https://en.wikipedia.org/wiki/Kyle_Schickner
Thomas Schlamme,,,1950-05-22,"Houston, Texas, U.S.","Director, producer",0,https://en.wikipedia.org/wiki/Thomas_Schlamme
John Schlesinger,,1953–2003,1926-02-16,"London, England",Filmmaker,1,https://en.wikipedia.org/wiki/John_Schlesinger
Christoph Schlingensief,,,1960-10-24,"Oberhausen, West Germany",Director,1,https://en.wikipedia.org/wiki/Christoph_Schlingensief
Volker Schlöndorff,,1960–present,1939-03-31,"Wiesbaden, Germany","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Volker_Schl%C3%B6ndorff
Julian Schnabel,EducationUniversity of Houston,,1951-10-26,"New York City, U.S.",,0,https://en.wikipedia.org/wiki/Julian_Schnabel
Dan Schneider,,1984)–present,1966-01-14,"Memphis, Tennessee, U.S.[2]",Television producerscreenwriteractor,0,https://en.wikipedia.org/wiki/Dan_Schneider_(TV_producer)
Ian Schneider,,,1992-10-03,"Flint, Michigan, U.S.","Director, Writer",0,https://en.wikipedia.org/wiki/Ian_Schneider
Rob Schneider,,1987–present,1963-10-31,"San Francisco, California, U.S.",Actorcomediandirectorscreenwriter,0,https://en.wikipedia.org/wiki/Rob_Schneider
Ernest B. Schoedsack,,1915–1952,"BornErnest Beaumont SchoedsackJune 8, 1893Council Bluffs, Iowa, US","Council Bluffs, Iowa, US","Film producer, cinematographer, film director",1,https://en.wikipedia.org/wiki/Ernest_B._Schoedsack
Paul Schrader,"EducationCalvin College (BA)University of California, Los Angeles (MA)",1974–present,1946-07-22,"Grand Rapids, Michigan, U.S.",Film director screenwriter,0,https://en.wikipedia.org/wiki/Paul_Schrader
Rick Schroder,,1979–present,1970-04-13,"Brooklyn, New York","Actor, film director, producer",0,https://en.wikipedia.org/wiki/Rick_Schroder
Barbet Schroeder,,,1941-08-26,"Tehran, Iran","Director, producer",0,https://en.wikipedia.org/wiki/Barbet_Schroeder
Werner Schroeter,,1967–2008,1945-04-07,"Georgenthal, Germany",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Werner_Schroeter
Michael Schultz,,1968–present,1938-11-10,"Milwaukee, Wisconsin, U.S.","Film director, theater director, film producer",0,https://en.wikipedia.org/wiki/Michael_Schultz
Joel Schumacher,EducationParsons The New School for Design,1972–present,1939-08-29,"New York City, New York, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Joel_Schumacher
Reinhold Schünzel,,1916-1954,"Born7 November 1888Hamburg, German Empire","Hamburg, German Empire","Actor, Director, Writer, Producer",1,https://en.wikipedia.org/wiki/Reinhold_Sch%C3%BCnzel
Til Schweiger,,1989–present,1963-12-19,"Freiburg, Baden-Württemberg, West Germany","Actor, voice actor, film director, film producer, film editor",0,https://en.wikipedia.org/wiki/Til_Schweiger
John Schwert,,,1975-11-20,"Fredonia, New York, US","Film director, screenwriter, producer, unit production manager, location manager",0,https://en.wikipedia.org/wiki/John_Schwert
David Schwimmer,EducationBeverly Hills High School,1982–present,1966-11-02,"Flushing, New York, U.S.","Actor, director, producer",0,https://en.wikipedia.org/wiki/David_Schwimmer
Ettore Scola,,1964–2016,1931-05-10,"Trevico, Campania, Italy",Film director screenwriter,1,https://en.wikipedia.org/wiki/Ettore_Scola
Martin Scorsese,"EducationNew York University (BA, MFA)",1963–present,1942-11-17,"New York City, U.S.",Filmmaker and actor,0,https://en.wikipedia.org/wiki/Martin_Scorsese
Ridley Scott,,1965–present,1937-11-30,"South Shields, County Durham, England",Film directorfilm producer,0,https://en.wikipedia.org/wiki/Ridley_Scott
Shaun Scott,,,"BornNovember 8, 1984Queens, New York, United States","Queens, New York, United States","Film director, editor",0,https://en.wikipedia.org/wiki/Shaun_Scott_(filmmaker)
Tony Scott,EducationSunderland Art School,1969–2012,1944-06-21,"Tynemouth, Northumberland, England",Film directorfilm producerscreenwriter,1,https://en.wikipedia.org/wiki/Tony_Scott
Aubrey Scotto,,,"BornAugust 21, 1895Los Angeles, California, United States","Los Angeles, California, United States","Film director, editor",1,https://en.wikipedia.org/wiki/Aubrey_Scotto
Steven Seagal,,1982–present,1952-04-10,,"Actor, producer, screenwriter, martial artist, musician",0,https://en.wikipedia.org/wiki/Steven_Seagal
George Seaton,,1934–79,1911-04-17,"South Bend, Indiana",Screenwriterplaywrightfilm directorfilm producertheatre director,1,https://en.wikipedia.org/wiki/George_Seaton
Edward Sedgwick,,1915–1953,1889-11-07,"Galveston, Texas, U.S.","Film director, screenwriter, actor and film producer",1,https://en.wikipedia.org/wiki/Edward_Sedgwick
Alex Segal,,1949–76,1915-07-01,New York City,Film director,1,https://en.wikipedia.org/wiki/Alex_Segal
Peter Segal,,1991–present,Born1962 (age 57–58)United States,United States,"Film director, screenwriter",0,https://en.wikipedia.org/wiki/Peter_Segal
Susan Seidelman,EducationAbington Senior High School (PA),1982–present,1952-12-11,"Philadelphia, Pennsylvania, US","Director, producer, writer",0,https://en.wikipedia.org/wiki/Susan_Seidelman
Ulrich Seidl,,1980–present,1952-11-24,"Vienna, Austria",Film director,0,https://en.wikipedia.org/wiki/Ulrich_Seidl
Lewis Seiler,,1923-1958,"BornSeptember 30, 1890New York, New York, USA","New York, New York, USA",Film director,1,https://en.wikipedia.org/wiki/Lewis_Seiler
William A. Seiter,,1915–1954,1890-06-10,New York City,Filmmaker,1,https://en.wikipedia.org/wiki/William_A._Seiter
"Franz Seitz, Sr.",,1920–1951,1887-04-14,"Munich, Germany",Film directorScreenwriter,1,"https://en.wikipedia.org/wiki/Franz_Seitz,_Sr."
George Seitz,,1913–1944,1888-01-03,"Boston, Massachusetts, U.S.","Actor, playwright, screenwriter, director",1,https://en.wikipedia.org/wiki/George_B._Seitz
Steve Sekely,,1930–1973,1899-02-25,"Budapest, Hungary",Film director,1,https://en.wikipedia.org/wiki/Steve_Sekely
Lesley Selander,,,1900-05-26,"Los Angeles, California",Film director,1,https://en.wikipedia.org/wiki/Lesley_Selander
Henry Selick,EducationRutgers UniversitySyracuse UniversityCalifornia Institute of the Arts,1977–present,1952-11-30,"Glen Ridge, New Jersey, U.S.",Director producer character designer stop motion animator storyboard artist,0,https://en.wikipedia.org/wiki/Henry_Selick
Herbert Selpin,,,1904-05-29,"Berlin, Germany",Film director and screenplay author,1,https://en.wikipedia.org/wiki/Herbert_Selpin
Aaron Seltzer,,1996-2015,1971-10-13,,"Directors, screenwriters",0,https://en.wikipedia.org/wiki/Aaron_Seltzer
David Seltzer,,1966–present,1940-02-12,"Highland Park, Illinois, United States","Screenwriter, producer, director",0,https://en.wikipedia.org/wiki/David_Seltzer
Selvaraghavan,,2003–present,BornSelvaraghavan Kasthuri Raja,,Film directorscreenwriter,0,https://en.wikipedia.org/wiki/Selvaraghavan
Edgar Selwyn,,1899–1942,1875-10-20,"Cincinnati, Ohio, USA",Actor playwright theatre producer theatre director screenwriter film producer film director,1,https://en.wikipedia.org/wiki/Edgar_Selwyn
Ousmane Sembène,,1956–2003,1923-01-01,,"Film director, producer, screenwriter, actor & author",1,https://en.wikipedia.org/wiki/Ousmane_Semb%C3%A8ne
Larry Semon,,1916–1928,1889-02-09,"West Point, Mississippi, United States","Actor, director, producer, screenwriter",1,https://en.wikipedia.org/wiki/Larry_Semon
Mrinal Sen,EducationScottish Church College (B.Sc.) Rajabazar Science College (M.Sc.),,1923-05-14,,,1,https://en.wikipedia.org/wiki/Mrinal_Sen
Dominic Sena,,1984–present,1949-04-26,"Niles, Ohio, U.S.","Film director, music video director",0,https://en.wikipedia.org/wiki/Dominic_Sena
Mack Sennett,,1908–1949,1880-01-17,"Richmond, Quebec, Canada","Actor,director,producerscreenwriterpresentercomposercinematographer",1,https://en.wikipedia.org/wiki/Mack_Sennett
Craig Serling,EducationBachelor of Arts in Film and Photographic Art,1988 to present,1964-08-07,"Syracuse, New York, United States",Film directorFilm producerScreenwriterTelevision editor,0,https://en.wikipedia.org/wiki/Craig_Serling
Tom Shadyac,,1984–present,1958-12-11,"Falls Church, Virginia, U.S.","Screenwriter, director, producer, author, occasional",0,https://en.wikipedia.org/wiki/Tom_Shadyac
S. Shankar,,1993–present,1963-08-17,"Kumbakonam, Tamil Nadu, India",Film directorfilm producerscreenwriter,0,https://en.wikipedia.org/wiki/S._Shankar
Ted Sharks,,,"BornIbaraki, Japan","Ibaraki, Japan","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Ted_Sharks
Parvez Sharma,,,Born8 July 1976India,India,Filmmaker and writer,0,https://en.wikipedia.org/wiki/Parvez_Sharma
Jim Sharman,,,1945-03-12,"Sydney, New South Wales, Australia","Screenwriter, film/stage director, producer",0,https://en.wikipedia.org/wiki/Jim_Sharman
William Shatner,EducationWest Hill High School,1951–present,1931-03-22,"Notre-Dame-de-Grâce, Montreal, Quebec, Canada","Actor, author, producer, director, singer",0,https://en.wikipedia.org/wiki/William_Shatner
Melville Shavelson,,,1917-04-01,"Brooklyn, New York, U.S.","Film director, producer, and screenwriter",1,https://en.wikipedia.org/wiki/Melville_Shavelson
Ron Shelton,,,1945-09-15,"Whittier, California, United States","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Ron_Shelton
Larisa Shepitko,,1956–1979,1938-01-06,"Artemovsk, Ukrainian SSR, USSR","Film director, screenwriter, actress",1,https://en.wikipedia.org/wiki/Larisa_Shepitko
Jim Sheridan,,1989–present,1949-02-06,"Dublin, Ireland","Film director, screenwriter and producer",0,https://en.wikipedia.org/wiki/Jim_Sheridan
Taylor Sheridan,,1995–present,1970-05-21,"Cranfills Gap, Texas, U.S.",Screenwriterdirectoractor,0,https://en.wikipedia.org/wiki/Taylor_Sheridan
Gary Sherman,,1966–present,1945-08-28,"Chicago, Illinois, United States","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Gary_Sherman_(director)
George Sherman,,1937–1978,1908-07-14,"New York City, New York, USA","Film director, producer",1,https://en.wikipedia.org/wiki/George_Sherman
Lowell Sherman,,1904–1934,1888-10-11,"San Francisco, California, US",Actor,1,https://en.wikipedia.org/wiki/Lowell_Sherman
Vincent Sherman,,1933 - 1983,1906-07-16,"Vienna, Georgia, USA",,1,https://en.wikipedia.org/wiki/Vincent_Sherman
Takashi Shimizu,,,1972-07-27,"Maebashi, Gunma Prefecture, Japan",Filmmaker,0,https://en.wikipedia.org/wiki/Takashi_Shimizu
Daryush Shokof,,1990s - present,1954-06-25,"Tehran, Iran","Artist, Filmmaker",0,https://en.wikipedia.org/wiki/Daryush_Shokof
Jack Sholder,,1980–2004,1945-06-08,"Philadelphia, Pennsylvania","Film director, screenwriter, educator",0,https://en.wikipedia.org/wiki/Jack_Sholder
Cate Shortland,,,1968-08-10,"Temora, New South Wales, Australia","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Cate_Shortland
M. Night Shyamalan,,,,,,0,https://en.wikipedia.org/wiki/M._Night_Shyamalan
Charles Shyer,,,1951-10-11,"Los Angeles, California, U.S.","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Charles_Shyer
Joe Simon,,,"BornKarnataka, India","Karnataka, India",Film directoractorscreenplay & story writerlyricist,0,https://en.wikipedia.org/wiki/Joe_Simon_(film_director)
George Sidney,,,1916-10-04,"Long Island City, New York, United States","Film director, Film producer",1,https://en.wikipedia.org/wiki/George_Sidney
Scott Sidney,,,BornHarry Wilbur Siggins1872,,,1,https://en.wikipedia.org/wiki/Scott_Sidney
David Siegel,"EducationUniversity of California, Berkeley",1993–present,"BornBrooklyn, New York, U.S.","Brooklyn, New York, U.S.","Film Director, Producer, Screenwriter",0,https://en.wikipedia.org/wiki/David_Siegel_(screenwriter)
Don Siegel,,,1912-10-26,"Chicago, Illinois, U.S.","Film director, writer, and producer",1,https://en.wikipedia.org/wiki/Don_Siegel
Brad Silberling,"EducationUniversity of California, Santa Barbara (B.A. 1984)",1987–present,1963-09-08,"Washington D.C., U.S.","Director, producer, screenwriter, actor",0,https://en.wikipedia.org/wiki/Brad_Silberling
Dean Silvers,,1985 – present,"BornDean SilversBrooklyn, New York, U.S.","Brooklyn, New York, U.S.","Film producer, film director, screenwriter, attorney, author",0,https://en.wikipedia.org/wiki/Dean_Silvers
S. Sylvan Simon,,,1910-03-09,"Chicago, Illinois, United States",,1,https://en.wikipedia.org/wiki/S._Sylvan_Simon
Yves Simoneau,,1979 - Present,1955-10-28,"Quebec City, Quebec, Canada",Film directorFilm producer,0,https://en.wikipedia.org/wiki/Yves_Simoneau
Giorgio Simonelli,,,1901-11-14,"Rome, Italy","Director, screenwriter",1,https://en.wikipedia.org/wiki/Giorgio_Simonelli
Bryan Singer,,1988–present,1965-09-17,New York City,Director producer writer,0,https://en.wikipedia.org/wiki/Bryan_Singer
Manmohan Singh,,1970s–present,,,"Film director, Cinematographer",0,https://en.wikipedia.org/wiki/Manmohan_Singh_(director)
Tarsem Singh,,1990–present,1961-05-26,"Jalandhar, Punjab, India","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Tarsem_Singh
John Singleton,,1991–2019,1968-01-06,"Los Angeles, California, U.S.","Film director, screenwriter, producer, actor",1,https://en.wikipedia.org/wiki/John_Singleton
Robert Siodmak,,,1900-08-08,"Dresden, German Empire",,1,https://en.wikipedia.org/wiki/Robert_Siodmak
Puneet Sira,,,1967-12-03,"London, England","Film Director, Producer",0,https://en.wikipedia.org/wiki/Puneet_Sira
Douglas Sirk,,1934–1979,1897-04-26,"Hamburg, German Empire",,1,https://en.wikipedia.org/wiki/Douglas_Sirk
Chris Sivertson,,,,,Filmmaker,0,https://en.wikipedia.org/wiki/Chris_Sivertson
Vilgot Sjöman,,1948–2004,1924-12-02,"Stockholm, Sweden","Writer, film director",1,https://en.wikipedia.org/wiki/Vilgot_Sj%C3%B6man
Victor Sjöström,,,1879-09-20,"Årjäng,[1] Värmlands län, United Kingdoms of Sweden and Norway",,1,https://en.wikipedia.org/wiki/Victor_Sj%C3%B6str%C3%B6m
Yannis Smaragdis,,1972–present,"Born1946 (age 73–74)Crete, Greece","Crete, Greece","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Yannis_Smaragdis
Ralph Smart,,,1908-08-27,,"Director, screenwriter and television producer.",1,https://en.wikipedia.org/wiki/Ralph_Smart
Jack Smight,,,1925-03-09,"Minneapolis, Minnesota, US","Theatre director, film director, film producer",1,https://en.wikipedia.org/wiki/Jack_Smight
Brian Trenchard-Smith,,1965-present,"BornBrian Medwin Trenchard-Smith[1]1946 (age 73–74)England, United Kingdom","England, United Kingdom","Film director, film producer, screenwriter, actor, author",0,https://en.wikipedia.org/wiki/Brian_Trenchard-Smith
Charles Martin Smith,,1971–present,1953-10-30,"Van Nuys, California, U.S.","Actor, writer, director",0,https://en.wikipedia.org/wiki/Charles_Martin_Smith
David Smith (director),,1915–1927,1872-10-28,"Faversham, Kent",Film director,1,https://en.wikipedia.org/wiki/David_Smith_(director)
Gary Smith,,1980–present,1954-10-30,"Atlanta, Georgia, US","Screenwriter, actor, and film and television director",0,https://en.wikipedia.org/wiki/Gary_T._Smith
George Albert Smith,,,1945-05-21,,,1,https://en.wikipedia.org/wiki/George_Albert_Smith
Harry Everett Smith,,,1923-05-29,,"Visual artist, filmmaker, ethnographer",1,https://en.wikipedia.org/wiki/Harry_Everett_Smith
Kevin Smith,,1992–present,1970-08-02,"Red Bank, New Jersey, U.S.",Filmmakeractorcomedianpublic speakercomic book writerauthorpodcaster,0,https://en.wikipedia.org/wiki/Kevin_Smith
Noel M. Smith,,1917–1952,1895-05-22,"Rockland, California, US",Film director,1,https://en.wikipedia.org/wiki/Noel_M._Smith
Seth Grahame-Smith,,,1976-01-04,,"Novelist, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Seth_Grahame-Smith
Adam Smoluk,,,1980-06-17,"Winnipeg, Manitoba, Canada","screenwriter, film director, actor and executive",0,https://en.wikipedia.org/wiki/Adam_Smoluk
Michael Snow,EducationOntario College of Art,,1928-12-10,"Toronto, Ontario, Canada",,0,https://en.wikipedia.org/wiki/Michael_Snow
Zack Snyder,,1990–present,1966-03-01,"Green Bay, Wisconsin, U.S.",Film directorfilm producerscreenwriter,0,https://en.wikipedia.org/wiki/Zack_Snyder
Michele Soavi,,1978 – present,1957-07-03,"Milan, Italy","Film director, actor",0,https://en.wikipedia.org/wiki/Michele_Soavi
Steven Soderbergh,,1981–present,1963-01-14,"Atlanta, Georgia, U.S.",Film directorscreenwriterfilm produceractorCinematographerEditor,0,https://en.wikipedia.org/wiki/Steven_Soderbergh
Aleksandr Sokurov,,1978–present,1951-06-14,"Podorvikha, Irkutsk Oblast, Russian SFSR",Film director,0,https://en.wikipedia.org/wiki/Aleksandr_Sokurov
Frances-Anne Solomon,"EducationTheatre, Television Production, Directing",1990–present,1966-06-28,"London, England","Filmmaker, producer",0,https://en.wikipedia.org/wiki/Frances-Anne_Solomon
Todd Solondz,EducationYale University,1984–present,1959-10-15,"Newark, New Jersey, U.S.","Filmmaker, playwright",0,https://en.wikipedia.org/wiki/Todd_Solondz
Stephen Sommers,EducationSt. Cloud Apollo High School,1989–present,1962-03-20,"Indianapolis, Indiana, U.S.","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Stephen_Sommers
Barry Sonnenfeld,,1978—present,1953-04-01,"New York City, New York, U.S.","Film director, producer and cinematographer",0,https://en.wikipedia.org/wiki/Barry_Sonnenfeld
Shion Sono,,,1961-12-18,"Toyokawa, Aichi, Japan","Poet, film director, screenwriter, cinematographer, film composer, actor",0,https://en.wikipedia.org/wiki/Shion_Sono
Tressie Souders,,,"BornTheresa Ann SoudersFebruary 7, 1897Frankfort, Kansas","Frankfort, Kansas","Film director, domestic worker",1,https://en.wikipedia.org/wiki/Tressie_Souders
Jaap Speyer,,1920–1949,Born29 November 1891Amsterdam Netherlands,Amsterdam Netherlands,Film director,1,https://en.wikipedia.org/wiki/Jaap_Speyer
Penelope Spheeris,,1968–present,1945-12-02,"New Orleans, Louisiana, U.S.","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Penelope_Spheeris
Steven Spielberg,,1959–present,1946-12-18,"Cincinnati, Ohio, United States","Film producer, film director, screenwriter",0,https://en.wikipedia.org/wiki/Steven_Spielberg
Götz Spielmann,,,1961-01-11,"Wels, Austria",,0,https://en.wikipedia.org/wiki/G%C3%B6tz_Spielmann
Spierig brothers,,2000–present,1976-04-29,"Buchholz, Germany","Film directors, screenwriters, film producers",0,https://en.wikipedia.org/wiki/Spierig_brothers
Roger Spottiswoode,,1966-present,1945-01-05,"Ottawa, Ontario, Canada",Film directorFilm editorScreenwriter,0,https://en.wikipedia.org/wiki/Roger_Spottiswoode
Jill Sprecher,,,BornUnited States,United States,"film director, producer, writer",0,https://en.wikipedia.org/wiki/Jill_Sprecher
Alejandro Springall,,,"Born Mexico City, Mexico","Mexico City, Mexico",Film director and producer,0,https://en.wikipedia.org/wiki/Alejandro_Springall
John M. Stahl,,,"BornJacob Morris StrelitskyJanuary 21, 1886Baku, Azerbaijan","Baku, Azerbaijan",Film director and producer,1,https://en.wikipedia.org/wiki/John_M._Stahl
Sylvester Stallone,EducationMiami Dade CollegeUniversity of Miami,1969–present,1946-07-06,"New York City, New York, U.S.","Actor, director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Sylvester_Stallone
Andrew Stanton,,1981–present,1965-12-03,"Rockport, Massachusetts, U.S.","Film director, producer, screenwriter, voice actor",0,https://en.wikipedia.org/wiki/Andrew_Stanton
Ladislas Starevich,,,1882-08-08,"Moscow, Russian Empire","Film director, stop motion animator",1,https://en.wikipedia.org/wiki/Ladislas_Starevich
Malcolm St. Clair,,,1897-05-17,,"Film director, writer, producer, and actor.",1,https://en.wikipedia.org/wiki/Malcolm_St._Clair_(filmmaker)
J.A. Steel,,2000–present,1969-12-12,"Greensburg, Pennsylvania, U.S.","Film actress, screenwriter, director, producer",0,https://en.wikipedia.org/wiki/J.A._Steel
Paul L. Stein,,1918 – 1950,1892-02-04,"Vienna, Austria-Hungary",Film director,1,https://en.wikipedia.org/wiki/Paul_L._Stein
Steno (director),,1949–1988,1917-01-19,"Rome, Italy","Film Director, Screenwriter, Cinematographer",1,https://en.wikipedia.org/wiki/Steno_(director)
Andrew Stevens,,1973 – present,1955-06-10,"Memphis, Tennessee, U.S.","Executive, film producer, film director, actor",0,https://en.wikipedia.org/wiki/Andrew_Stevens
George Stevens,,1915–1970,1904-12-18,"Oakland, California, U.S.","director, cinematographer, actor, writer, producer",1,https://en.wikipedia.org/wiki/George_Stevens
Robert Stevenson,,1928–1985,1905-03-31,"Buxton, Derbyshire, England","Director, screenwriter and actor",1,https://en.wikipedia.org/wiki/Robert_Stevenson_(director)
Gordon Stewart,"EducationUniversity of Chicago Laboratory Schools, Oberlin College of Arts and Sciences, University of Chicago, University of Vienna, Yale School of Drama",,"BornGordon Curran StewartJuly 22, 1939Chicago, Illinois, U.S.","Chicago, Illinois, U.S.","Vice Chairman of the International Insurance Society, Publisher of the Philipstown Dot Info Newspaper, Founder of The Next Deal, Inc.",1,https://en.wikipedia.org/wiki/Gordon_Curran_Stewart
Ben Stiller,,1975–present,1965-11-30,"New York City, U.S.",Actorcomedianfilm producerfilm directorwriter,0,https://en.wikipedia.org/wiki/Ben_Stiller
Mauritz Stiller,,1912–1928,1883-07-17,"Helsinki, Grand Duchy of Finland, Russian Empire","Director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Mauritz_Stiller
Whit Stillman,,1973–present,1952-01-25,"Washington, D.C.","Screenwriter, film director",0,https://en.wikipedia.org/wiki/Whit_Stillman
Francis Stokes,,,"BornAnnapolis, Maryland United States","Annapolis, Maryland United States","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Francis_Stokes
Marcus Stokes,,,BornMarcus StokesUnited States,United States,"Director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Marcus_Stokes
Benjamin Stoloff,,1920–1960,1895-10-06,"Philadelphia, Pennsylvania, U.S.","Director, producer",1,https://en.wikipedia.org/wiki/Benjamin_Stoloff
Andrew L. Stone,,,1902-07-16,"Oakland, California, U.S.",Screenwriter Film director Film producer,1,https://en.wikipedia.org/wiki/Andrew_L._Stone
Matt Stone,EducationHeritage High School,1989–present,1971-05-26,"Houston, Texas, U.S.",Actoranimatorwriterproducercomposer,0,https://en.wikipedia.org/wiki/Matt_Stone
Oliver Stone,,1971–present,1946-09-15,"New York City, New York, U.S.","Film director, screenwriter, film producer, author",0,https://en.wikipedia.org/wiki/Oliver_Stone
Jerome Storm,,1918-1932,"BornNovember 11, 1890Denver, Colorado, USA","Denver, Colorado, USA",Film director,1,https://en.wikipedia.org/wiki/Jerome_Storm
Frank R. Strayer,,1950s,1891-09-21,,ActorFilm writerFilm directorFilm producer,1,https://en.wikipedia.org/wiki/Frank_R._Strayer
Barbra Streisand,EducationErasmus Hall High School,1960–present,1942-04-24,"New York City, U.S.",Singer actress filmmaker,0,https://en.wikipedia.org/wiki/Barbra_Streisand
Mel Stuart,,1963–2000,1928-09-02,"Manhattan, New York City","Director, producer",1,https://en.wikipedia.org/wiki/Mel_Stuart
Gene Stupnitsky,,,1977-08-26,"Kiev, Ukrainian SSR, Soviet Union (now Ukraine)","Writer, producer",0,https://en.wikipedia.org/wiki/Gene_Stupnitsky
John Sturges,,,1910-01-03,"Oak Park, Illinois, United States",Film director,1,https://en.wikipedia.org/wiki/John_Sturges
Preston Sturges,,1928–1956,1898-08-29,"Chicago, Illinois, U.S.","Playwright, screenwriter, film director",1,https://en.wikipedia.org/wiki/Preston_Sturges
K. Subash,,1989–2016,BornSankarkrishnan1959India,India,"Film director, screenwriter",1,https://en.wikipedia.org/wiki/K._Subash
Arne Sucksdorff,,1940-1972,1917-02-03,"Stockholm, Sweden",Film director,1,https://en.wikipedia.org/wiki/Arne_Sucksdorff
Elia Suleiman,,1990–present,1960-07-28,"Nazareth, Israel","director, actor",0,https://en.wikipedia.org/wiki/Elia_Suleiman
Sun Yu,,,1900-03-21,"Chongqing, China",Film director,1,https://en.wikipedia.org/wiki/Sun_Yu_(director)
A. Edward Sutherland,,,1895-01-05,,,1,https://en.wikipedia.org/wiki/A._Edward_Sutherland
Seijun Suzuki,,1956–2007,1923-05-24,"Nihonbashi, Tokyo, Japan","Film and television director, actor and writer",1,https://en.wikipedia.org/wiki/Seijun_Suzuki
Jan Švankmajer,,1964-present,1934-09-04,"Prague, Czechoslovakia","Film director, artist",0,https://en.wikipedia.org/wiki/Jan_%C5%A0vankmajer
Harry Sweet,,1919-1933,1901-10-02,"Colorado, USA",,1,https://en.wikipedia.org/wiki/Harry_Sweet
István Szabó,,1959–present,1938-02-18,"Budapest, Hungary",Film director,0,https://en.wikipedia.org/wiki/Istv%C3%A1n_Szab%C3%B3
Peter Szewczyk,,,"BornChicago, Illinois, United States","Chicago, Illinois, United States","Director, cinematographer, animator",0,https://en.wikipedia.org/wiki/Peter_Szewczyk
Rachel Talalay,,1981–present,1958-08-16,"Chicago, Illinois, U.S.",Director producer professor,0,https://en.wikipedia.org/wiki/Rachel_Talalay
Alain Tanner,,1957–present,1929-12-06,"Geneva, Switzerland",Film director,0,https://en.wikipedia.org/wiki/Alain_Tanner
Quentin Tarantino,,1987–present,1963-03-27,"Knoxville, Tennessee, U.S.",Filmmaker actor,0,https://en.wikipedia.org/wiki/Quentin_Tarantino
Andrei Tarkovsky,,1958–86,1932-04-04,"Zavrazhye, Russian SFSR, Soviet Union","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Andrei_Tarkovsky
Béla Tarr,,1971–present,1955-07-21,"Pécs, Hungary",Filmmaker,0,https://en.wikipedia.org/wiki/B%C3%A9la_Tarr
